'Elapsed time','EMG'
'seconds','mV'
0.332,0.032
0.333,0.020
0.333,0.020
0.333,0.010
0.333,0.012
0.334,0.007
0.334,0.013
0.334,0.007
0.334,0.010
0.335,0.005
0.335,0.007
0.335,0.003
0.335,0.003
0.336,0.008
0.336,0.007
0.336,0.002
0.336,0.002
0.337,0.005
0.337,0.005
0.337,0.002
0.337,0.003
0.338,0.000
0.338,0.002
0.338,-0.002
0.338,0.000
0.339,0.007
0.339,0.005
0.339,0.010
0.339,0.008
0.340,0.012
0.340,0.013
0.340,0.007
0.340,0.012
0.341,0.008
0.341,0.010
0.341,0.005
0.341,0.007
0.342,0.012
0.342,0.008
0.342,0.012
0.342,0.012
0.343,0.008
0.343,0.008
0.343,0.013
0.343,0.012
0.344,0.017
0.344,0.017
0.344,0.022
0.344,0.018
0.344,0.022
0.345,0.020
0.345,0.023
0.345,0.022
0.345,0.013
0.346,0.012
0.346,0.007
0.346,0.007
0.346,-0.003
0.347,0.000
0.347,-0.008
0.347,-0.007
0.347,-0.012
0.348,-0.008
0.348,-0.015
0.348,-0.015
0.348,-0.012
0.349,-0.013
0.349,-0.015
0.349,-0.015
0.349,-0.008
0.350,-0.012
0.350,-0.007
0.350,-0.008
0.350,-0.002
0.351,-0.003
0.351,0.003
0.351,0.000
0.351,0.007
0.352,0.007
0.352,0.013
0.352,0.012
0.352,0.018
0.353,0.018
0.353,0.013
0.353,0.012
0.353,-0.005
0.354,-0.005
0.354,-0.023
0.354,-0.023
0.354,-0.042
0.355,-0.042
0.355,-0.058
0.355,-0.057
0.355,-0.063
0.356,-0.062
0.356,-0.058
0.356,-0.058
0.356,-0.053
0.357,-0.053
0.357,-0.033
0.357,-0.035
0.357,-0.025
0.358,-0.025
0.358,-0.022
0.358,-0.022
0.358,-0.025
0.359,-0.027
0.359,-0.022
0.359,-0.022
0.359,0.008
0.360,0.013
0.360,0.102
0.360,0.105
0.360,0.205
0.361,0.210
0.361,0.332
0.361,0.338
0.361,0.522
0.362,0.600
0.362,0.500
0.362,0.482
0.362,-0.320
0.363,-0.362
0.363,-0.742
0.363,-0.578
0.363,0.428
0.364,0.872
0.364,-1.285
0.364,-1.430
0.364,-2.088
0.365,-1.372
0.365,-0.375
0.365,-0.372
0.365,-0.175
0.366,-0.167
0.366,0.050
0.366,0.057
0.366,0.113
0.367,0.117
0.367,0.262
0.367,0.268
0.367,0.360
0.368,0.363
0.368,0.438
0.368,0.440
0.368,0.500
0.369,0.513
0.369,0.400
0.369,0.380
0.369,-0.167
0.370,-0.190
0.370,-0.443
0.370,-0.425
0.370,-0.215
0.371,-0.203
0.371,0.037
0.371,0.043
0.371,0.167
0.372,0.168
0.372,0.208
0.372,0.205
0.372,0.172
0.373,0.168
0.373,0.117
0.373,0.115
0.373,0.087
0.374,0.085
0.374,0.068
0.374,0.068
0.374,0.060
0.375,0.060
0.375,0.047
0.375,0.047
0.376,0.035
0.376,0.035
0.376,0.028
0.376,0.030
0.377,0.037
0.377,0.037
0.377,0.030
0.377,0.033
0.378,0.028
0.378,0.032
0.378,0.038
0.378,0.035
0.379,0.030
0.379,0.032
0.379,0.023
0.379,0.023
0.380,0.015
0.380,0.017
0.380,0.013
0.380,0.015
0.381,0.018
0.381,0.020
0.381,0.015
0.381,0.018
0.382,0.013
0.382,0.017
0.382,0.007
0.382,0.008
0.383,0.003
0.383,0.003
0.383,-0.003
0.383,-0.002
0.384,-0.005
0.384,-0.003
0.384,-0.007
0.384,-0.005
0.385,-0.008
0.385,-0.005
0.385,-0.008
0.385,-0.005
0.386,-0.012
0.386,-0.012
0.386,-0.008
0.386,-0.013
0.387,-0.010
0.387,-0.013
0.387,-0.003
0.387,-0.007
0.388,0.000
0.388,-0.002
0.388,0.005
0.388,0.002
0.389,0.008
0.389,0.007
0.389,0.012
0.389,0.010
0.390,0.003
0.390,0.002
0.390,0.005
0.390,0.007
0.391,0.000
0.391,0.000
0.391,0.005
0.391,0.002
0.392,0.008
0.392,0.008
0.392,0.012
0.392,0.010
0.393,0.005
0.393,0.005
0.393,-0.010
0.393,-0.010
0.394,-0.022
0.394,-0.020
0.394,-0.037
0.394,-0.038
0.395,-0.052
0.395,-0.052
0.395,-0.042
0.395,-0.040
0.396,-0.023
0.396,-0.023
0.396,-0.005
0.396,-0.003
0.397,0.013
0.397,0.013
0.397,0.020
0.397,0.018
0.398,0.012
0.398,0.013
0.398,-0.008
0.398,-0.010
0.399,-0.038
0.399,-0.037
0.399,-0.047
0.399,-0.047
0.400,-0.035
0.400,-0.037
0.400,-0.023
0.400,-0.025
0.401,-0.020
0.401,-0.022
0.401,-0.015
0.401,-0.018
0.402,-0.013
0.402,-0.015
0.402,-0.017
0.402,-0.015
0.403,-0.020
0.403,-0.020
0.403,-0.015
0.403,-0.017
0.404,-0.013
0.404,-0.017
0.404,-0.012
0.404,-0.015
0.405,-0.012
0.405,-0.015
0.405,-0.010
0.405,-0.013
0.406,-0.008
0.406,-0.012
0.406,-0.007
0.406,-0.008
0.406,-0.003
0.407,-0.005
0.407,-0.003
0.407,-0.003
0.407,-0.008
0.408,-0.003
0.408,-0.008
0.408,-0.003
0.408,-0.007
0.409,-0.005
0.409,0.002
0.409,0.000
0.409,0.003
0.410,0.005
0.410,0.000
0.410,0.005
0.410,0.000
0.411,0.000
0.411,0.007
0.411,0.003
0.411,0.007
0.412,0.005
